id,category,subtopic,title,content,keywords
vm_iodine,Vitamins & Minerals,Mineral,Iodine,"Iodine is a mineral. Key benefits: Essential for thyroid hormone production; which regulates metabolism. Food sources: Iodized salt, seaweed, fish, dairy, eggs. Adult RDA: 150 mcg. Deficiency symptoms: Goiter, fatigue, weight gain, developmental delays in infants. Deficiency disease(s): Iodine-deficiency disorder / Goiter.",Iodine; Mineral
vm_selenium,Vitamins & Minerals,Mineral,Selenium,"Selenium is a mineral. Key benefits: Antioxidant; supports thyroid function and immune health. Food sources: Brazil nuts, seafood, meat, eggs, sunflower seeds. Adult RDA: 55 mcg. Deficiency symptoms: Muscle weakness, fatigue, weakened immunity, thyroid problems. Deficiency disease(s): Keshan disease (rare).",Selenium; Mineral
vm_copper,Vitamins & Minerals,Mineral,Copper,"Copper is a mineral. Key benefits: Supports iron metabolism; connective tissue formation; nervous system function. Food sources: Shellfish, nuts, seeds, whole grains, organ meats, dark chocolate. Adult RDA: 900 mcg. Deficiency symptoms: Fatigue, pale skin, weakened immunity, brittle bones. Deficiency disease(s): Copper deficiency (rare).",Copper; Mineral
vm_manganese,Vitamins & Minerals,Mineral,Manganese,"Manganese is a mineral. Key benefits: Supports bone formation; metabolism; antioxidant defense. Food sources: Whole grains, nuts, legumes, tea, leafy vegetables. Adult RDA: 2.3 mg (men) / 1.8 mg (women). Deficiency symptoms: Bone malformation, weakness, impaired growth (rare). Deficiency disease(s): Manganese deficiency (rare).",Manganese; Mineral
vm_chromium,Vitamins & Minerals,Mineral,Chromium,"Chromium is a mineral. Key benefits: Enhances insulin action and supports carbohydrate/fat metabolism. Food sources: Broccoli, whole grains, meat, nuts, brewer's yeast. Adult RDA: 35 mcg (men) / 25 mcg (women). Deficiency symptoms: Impaired glucose tolerance, unintended weight loss (rare). Deficiency disease(s): Chromium deficiency (rare).",Chromium; Mineral
vm_fluoride,Vitamins & Minerals,Mineral,Fluoride,"Fluoride is a mineral. Key benefits: Strengthens tooth enamel and helps prevent tooth decay. Food sources: Fluoridated water, tea, seafood, fluoride toothpaste. Adult RDA: 3-4 mg. Deficiency symptoms: Increased risk of tooth decay. Deficiency disease(s): Dental caries risk.",Fluoride; Mineral
imm_001,Immune System,Overview,Innate vs Adaptive Immunity,"The immune system has two main branches. Innate immunity is the body's fast, non-specific first line of defense, active from birth, including physical barriers (skin, mucus), and cells like neutrophils and macrophages that attack any invader. Adaptive immunity is slower to activate but highly specific and creates memory of past pathogens, driven mainly by T-cells and B-cells.",innate immunity; adaptive immunity; immune system overview; first line of defense
imm_002,Immune System,T-cells,Helper T-cells (CD4+),"Helper T-cells (CD4+ T-cells) coordinate the immune response by releasing cytokines that activate other immune cells, including B-cells and cytotoxic T-cells. They do not kill infected cells directly but act as the 'command center' of adaptive immunity. HIV specifically targets and depletes CD4+ helper T-cells, which is why it severely weakens immune function.",helper T cells; CD4; cytokines; adaptive immunity; T lymphocytes
imm_003,Immune System,T-cells,Cytotoxic T-cells (CD8+),Cytotoxic T-cells (CD8+ T-cells) directly kill cells that are infected with viruses or that have become cancerous. They recognize infected cells via antigen fragments displayed on the cell surface (MHC class I molecules) and release enzymes that induce cell death in the target cell.,cytotoxic T cells; CD8; killer T cells; MHC class I; viral infection
imm_004,Immune System,T-cells,Regulatory T-cells (Tregs),"Regulatory T-cells (Tregs) suppress and control the immune response to prevent it from attacking the body's own tissues, and to shut the response down once an infection is cleared. Dysfunction in Tregs is linked to autoimmune diseases.",regulatory T cells; Tregs; immune tolerance; autoimmune disease
imm_005,Immune System,B-cells & Antibodies,B-cells and Antibody Production,"B-cells are white blood cells responsible for producing antibodies (immunoglobulins). When a B-cell encounters an antigen it recognizes, with help from helper T-cells it differentiates into plasma cells that mass-produce antibodies specific to that antigen, and memory B-cells that allow a faster response if the same pathogen returns.",B cells; antibodies; immunoglobulins; plasma cells; memory B cells
imm_006,Immune System,B-cells & Antibodies,Types of Antibodies,"There are five main antibody classes: IgG (most abundant, provides long-term immunity and crosses the placenta), IgA (found in mucosal secretions like saliva and breast milk), IgM (first antibody produced during an infection), IgE (involved in allergic reactions and parasite defense), and IgD (function still not fully understood, found on B-cell surfaces).",IgG; IgA; IgM; IgE; IgD; antibody classes; immunoglobulin types
imm_007,Immune System,White Blood Cells,Types of White Blood Cells (Leukocytes),"White blood cells are grouped into granulocytes and agranulocytes. Granulocytes include neutrophils (most abundant, first responders that engulf bacteria), eosinophils (fight parasites and involved in allergic responses), and basophils (release histamine during allergic reactions). Agranulocytes include lymphocytes (T-cells, B-cells, natural killer cells) and monocytes, which mature into macrophages that engulf pathogens and debris.",white blood cells; leukocytes; neutrophils; eosinophils; basophils; monocytes; macrophages
imm_008,Immune System,Immune Response,Primary vs Secondary Immune Response,"The primary immune response occurs the first time the body encounters a pathogen and takes days to build up, while producing memory cells. The secondary immune response occurs on re-exposure to the same pathogen; because memory B-cells and T-cells already exist, the response is much faster and stronger. Vaccines work by safely triggering a primary response so the body is ready with a fast secondary response if it meets the real pathogen later.",primary immune response; secondary immune response; immunological memory; vaccination
imm_009,Immune System,Nutrition & Immunity,How Nutrition Supports Immune Function,Several nutrients are directly required for immune cell production and function: Vitamin C supports white blood cell function and acts as an antioxidant; Vitamin D modulates both innate and adaptive immune responses; zinc is essential for the development and function of neutrophils and natural killer cells; and protein provides the building blocks for antibodies. Chronic deficiency in any of these can impair immune response and increase infection risk.,nutrition and immunity; vitamin C immunity; vitamin D immunity; zinc immunity; protein immunity
diet_001,Diet Plans,Vegetarian,Vegetarian Diet Overview,"A vegetarian diet excludes meat, poultry, and fish but typically includes dairy and eggs (lacto-ovo vegetarian). It emphasizes vegetables, fruits, whole grains, legumes, nuts, and seeds. Key nutritional considerations include ensuring adequate iron, vitamin B12 (mainly from dairy/eggs), zinc, and complete protein through combining grains and legumes.",vegetarian diet; lacto-ovo vegetarian; plant-based; iron; vitamin B12
diet_002,Diet Plans,Non-Vegetarian,Non-Vegetarian Diet Overview,"A non-vegetarian diet includes meat, poultry, fish, and seafood alongside plant foods. It naturally provides complete protein, heme iron (more easily absorbed than plant-based iron), vitamin B12, and omega-3 fatty acids from fish. Balance and moderation matter: excessive red or processed meat intake is associated with higher cardiovascular risk, so lean meats, poultry, and fish are generally favored over processed meats.",non-vegetarian diet; heme iron; complete protein; omega-3; lean meat
diet_003,Diet Plans,Keto,Ketogenic (Keto) Diet,"The ketogenic diet is a very low-carbohydrate, high-fat, moderate-protein diet (typically around 5-10% carbs, 70-75% fat, 15-20% protein) designed to shift the body into ketosis, where it burns fat for fuel instead of glucose. It was originally developed to manage epilepsy and is also used for weight loss. Common foods include meat, fatty fish, eggs, butter, nuts, and low-carb vegetables, while grains, sugar, and most fruits are avoided. It requires medical supervision for people with diabetes or kidney conditions.",ketogenic diet; keto; low carb; ketosis; high fat diet
diet_004,Diet Plans,Mediterranean,Mediterranean Diet,"The Mediterranean diet is based on traditional eating patterns of countries bordering the Mediterranean Sea. It emphasizes olive oil as the primary fat source, vegetables, fruits, whole grains, legumes, nuts, and fish, with moderate dairy and poultry and limited red meat. It is widely studied and associated with reduced risk of cardiovascular disease, largely due to its high content of monounsaturated fats, fiber, and antioxidants.",mediterranean diet; olive oil; heart health; monounsaturated fat; fiber
diet_005,Diet Plans,Immunity-Boosting,Immunity-Boosting Diet Principles,"An immunity-supportive diet focuses on nutrient density rather than any single 'superfood.' Key priorities include: adequate protein for antibody production; vitamin C-rich foods (citrus, bell peppers, broccoli); vitamin D (fatty fish, fortified foods, sun exposure); zinc (seeds, legumes, meat); probiotic/fermented foods (yogurt, kefir) for gut-immune health; and limiting added sugar and excessive alcohol, both of which can suppress immune cell function.",immunity boosting diet; immune supportive foods; gut health; probiotics; nutrient density
diet_006,Diet Plans,Vegan,Vegan Diet Overview,"A vegan diet excludes all animal products, including dairy, eggs, and honey, relying entirely on plant foods. It requires deliberate planning to avoid deficiencies in vitamin B12 (not naturally present in plant foods and typically requires fortified foods or supplementation), iron, calcium, omega-3 fatty acids, and sometimes protein, depending on food variety and intake.",vegan diet; plant-based; vitamin B12 supplementation; calcium; omega-3 ALA
dis_001,Deficiency Diseases,Vitamin C,Scurvy,"Scurvy is caused by prolonged vitamin C (ascorbic acid) deficiency. Vitamin C is required to synthesize collagen, so deficiency weakens connective tissue, leading to bleeding gums, easy bruising, joint pain, poor wound healing, and fatigue. It is treated and prevented with adequate intake of citrus fruits, bell peppers, and other vitamin C-rich foods.",scurvy; vitamin C deficiency; collagen; bleeding gums; ascorbic acid
dis_002,Deficiency Diseases,Iron / B12 / Folate,Anemia,"Anemia is a condition where the blood lacks enough healthy red blood cells or hemoglobin to carry adequate oxygen. Nutritional anemia is most commonly caused by iron deficiency (iron-deficiency anemia), but can also result from vitamin B12 deficiency (pernicious/megaloblastic anemia) or folate deficiency. Symptoms include fatigue, pale skin, shortness of breath, and dizziness.",anemia; iron deficiency anemia; B12 deficiency; folate deficiency; hemoglobin
dis_003,Deficiency Diseases,Vitamin D,Rickets,"Rickets is a childhood disease caused by vitamin D, calcium, or phosphate deficiency, resulting in softening and weakening of bones. It leads to skeletal deformities such as bowed legs, delayed growth, and bone pain. The adult equivalent, caused by the same deficiencies, is called osteomalacia. Prevention includes adequate vitamin D from sunlight, fortified foods, and fatty fish.",rickets; vitamin D deficiency; osteomalacia; bone softening; calcium
dis_004,Deficiency Diseases,Vitamin B1,Beriberi,"Beriberi is caused by thiamine (vitamin B1) deficiency. 'Wet beriberi' affects the cardiovascular system, causing swelling and heart failure, while 'dry beriberi' affects the nervous system, causing muscle weakness, nerve damage, and difficulty walking. It is historically linked to diets based heavily on polished (white) rice with little else.",beriberi; thiamine deficiency; vitamin B1; wet beriberi; dry beriberi
dis_005,Deficiency Diseases,Vitamin B3,Pellagra,"Pellagra is caused by niacin (vitamin B3) deficiency, often associated with diets heavily reliant on untreated corn/maize. It is classically described by the '4 Ds': dermatitis (skin rash on sun-exposed areas), diarrhea, dementia, and if untreated, death. Treatment involves niacin supplementation and dietary diversification.",pellagra; niacin deficiency; vitamin B3; dermatitis; four Ds
dis_006,Deficiency Diseases,Iodine,Goiter and Iodine Deficiency Disorders,"Iodine deficiency impairs the thyroid gland's ability to produce thyroid hormone, causing the gland to enlarge (goiter) as it tries to compensate. Severe deficiency during pregnancy can cause irreversible cognitive impairment in the child (cretinism). Iodized salt and seafood are the main dietary sources used to prevent it.",iodine deficiency; goiter; thyroid; cretinism; iodized salt
dis_007,Deficiency Diseases,Protein-Energy,Kwashiorkor and Marasmus,"Kwashiorkor and marasmus are severe forms of protein-energy malnutrition, most common in children in food-insecure regions. Kwashiorkor results primarily from protein deficiency despite adequate calorie intake, causing edema (swelling), a distended belly, and fatty liver. Marasmus results from severe overall calorie and nutrient deficiency, causing extreme wasting of muscle and fat with no edema.",kwashiorkor; marasmus; protein energy malnutrition; edema; child malnutrition
dis_008,Deficiency Diseases,Vitamin A,Night Blindness / Xerophthalmia,"Vitamin A deficiency impairs the retina's ability to adapt to low light, causing night blindness, and can progress to xerophthalmia (severe dryness of the eyes), corneal damage, and in advanced untreated cases, irreversible blindness. It remains a leading cause of preventable childhood blindness in developing countries.",vitamin A deficiency; night blindness; xerophthalmia; retinol; childhood blindness
sup_001,Superfoods,Turmeric,Turmeric and Curcumin,"Turmeric is a spice containing curcumin, a compound with notable anti-inflammatory and antioxidant properties. Research suggests curcumin may help reduce markers of inflammation and support joint health, though curcumin has poor bioavailability on its own and is often paired with black pepper (piperine) to improve absorption. It is commonly used in cooking and as a supplement.",turmeric; curcumin; anti-inflammatory; antioxidant; piperine; bioavailability
sup_002,Superfoods,Ginger,Ginger,"Ginger is a root widely used for its anti-nausea and digestive benefits, including relief from motion sickness and pregnancy-related nausea. It contains gingerol, a bioactive compound with anti-inflammatory and antioxidant effects, and is also commonly used to help ease muscle soreness and support digestion.",ginger; gingerol; nausea relief; digestion; anti-inflammatory
sup_003,Superfoods,Garlic,Garlic,"Garlic contains allicin, a sulfur compound formed when garlic is crushed or chopped, which is associated with cardiovascular benefits such as modestly lower blood pressure and cholesterol, as well as antimicrobial properties. Regular consumption is also studied for potential immune-supportive effects, though effect sizes in human studies vary.",garlic; allicin; cardiovascular health; antimicrobial; cholesterol
sup_004,Superfoods,Green Tea,Green Tea,"Green tea is rich in catechins, particularly EGCG (epigallocatechin gallate), a powerful antioxidant. It is associated with modest benefits for metabolism, cardiovascular health, and cellular protection against oxidative stress. It also contains a moderate amount of caffeine along with L-theanine, which together are thought to produce a calmer form of alertness compared to coffee.",green tea; EGCG; catechins; antioxidant; L-theanine
sup_005,Superfoods,Berries,"Berries (Blueberries, Strawberries)","Berries are dense in anthocyanins and other polyphenol antioxidants, which help combat oxidative stress linked to aging and chronic disease. They are also a good source of fiber and vitamin C relative to their calorie content, and are commonly associated with cognitive and cardiovascular health benefits in observational studies.",berries; blueberries; anthocyanins; antioxidants; polyphenols
sup_006,Superfoods,Yogurt,Yogurt and Fermented Foods,"Fermented foods like yogurt, kefir, and kimchi contain live probiotic bacteria that support gut microbiome diversity. Since a large portion of the immune system is closely tied to gut health, regular intake of fermented foods is associated with improved digestion and may support immune function indirectly through the gut-immune axis.",yogurt; probiotics; fermented foods; gut microbiome; gut-immune axis
